Resource ID(s),Unique Identifier,Item Title,Date,Date Type,Digitization Nomination,Checksum Type,Publisher,Subject,Contributor,Description,Rights Statement,Storage Location,Physical Format,Generations,Condition,Asset Type,Channel Configuration Physical,Rights Summary,Language,Channel Configuration Digital,Preservation Sample Rate,Preservation Bit Depth,Digitization Grant,Duration Physical,Written notes on casing,Removal Nomination,Related Item IDs,Ancillary Materials,Program Name,Digital QC notes,Preservation Filename,Preservation File Location,Preservation Filesize,Checksum Value,Digitization Vendor,KBOO episode ID,Proxy Filename,Temporal Coverage,Date Digitized,Duration Digital,Audio Time Start,Spatial Coverage,Identifier2,IdentifierSource2
13847,7-1562,Ed Edmo,TBD with digitization,unknown,spirit mountain,,KBOO,"Indigenous, Poetry",Ed Edmo,"Ed Edmo is a Shoshone-Bannock poet, playwright, performer, traditional storyteller, tour guide and lecturer on Northwest tribal culture","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,Uneven tape pack; Mold/Fungus; No proper tape leader head,,,Saleable,,,,,Spirit Mountain Community Fund,,,,,,,,,,,,,,,,,,,,,
13229,7-0896,Emily Benedek on Navajo-Hopi land dispute,TBD with digitization,unknown,erin's spirit mountain nomination,,,Indigenous,Emily Benedek,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Saleable,,,,,,00:30:00,,,,,,,,,,,,,,,,,,,,
12982,7-0779,John Stockwell and Bill Meeans on Ben Linder,TBD with digitization,unknown,erin's spirit mountain nomination,,,"Government/Politics, Military/Veterans, latin america",Ben Linder,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Saleable,,,,,,00:25:00,,,,,,,,,,,,,,,,,,,,
11870,5-0078,Marge Piercy interview,TBD with digitization,unknown,erin's spirit mountain nomination,,,Fiction,Marge Piercy,intvw. at KBOO,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Saleable,,,,,,00:15:00,,,,,,,,,,,,,,,,,,,,
11365,10-0938,10-0938 title,TBD with digitization,unknown,spirit mountain,,,"African American, Government/Politics",,civil rights activisttells his story,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Saleable,,,,,,01:00:00,Alan B.,,,,,,,,,,,,,,,,,,,
11205,10-0781,Ward Churchill at Laughing Horse Books,TBD with digitization,unknown,erin's spirit mountain nomination,,,"Indigenous, Police",Ward Churchill,Discussion with audience,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,No proper tape leader head,,,Saleable,,,,,,00:59:00,,,,,,,,,,,,,,,,,,,,
16590,CD-2529,wroteTheMiddlesteins,2013-08-08,unknown,,,,Fiction,Jami Attenberg,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:29:00,,,,,,,,,,,,,,,,,,,,
16588,CD-2527,"Steven Wax, AndyWorthington on Guantanamo",2013-08-07,unknown,,,,"War/Peace, Prison",Brian Willson,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:19,,,,,,,,,,,,,,,,,,,,
16587,CD-2526,CD-2526 title,2013-08-06,unknown,,,,War/Peace,Dennis Kucinich,on militarism & violence,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Non-Saleable,,,,,,00:59:00,,,,,,,,,,,,,,,,,,,,
16589,CD-2528,photographer,2013-07-30,unknown,,,,Arts/Culture,Holly Andres,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:29:00,,,,,,,,,,,,,,,,,,,,
16583,CD-2522,of Prepare portland on personal safety,2013-07-12,unknown,,,,Law/Courts/Crime,Lia Nagase,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:00,,,,,,,,,,,,,,,,,,,,
16580,CD-2519,pilot hurt by AgentOrange in Vietnam,2013-07-12,unknown,,,,"War/Peace, Health, Environment/Climate",Wes Carter,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:00,,,,,,,,,,,,,,,,,,,,
16582,CD-2521,pruning and espalliering,2013-07-10,unknown,,,,Agriculture,Jim Gilbert,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:00,,,,,,,,,,,,,,,,,,,,
16585,CD-2524,wroteTempleGrove-env vs logger vs nativeAms,2013-06-19,unknown,,,,Fiction,Scott Elliot,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:29:01,,,,,,,,,,,,,,,,,,,,
16570,CD-2509,wrote 'Cha-Ching',2013-05-02,unknown,,,,Fiction,Ali Liebgott,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:24:09,,,,,,,,,,,,,,,,,,,,
16564,CD-2503,members of NatAllianceMen.Health on treatment,2013-04-29,unknown,,,,Health,Dr. Jim Phelps,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:15,,,,,,,,,,,,,,,,,,,,
16571,CD-2510,wrote BringingHomeMulligan on WWII,2013-04-19,unknown,,,,War/Peace,Dale Maharidge,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16572,CD-2511,HomeOrchardSociety-fruit,2013-03-13,unknown,,,,Agriculture,Joanie Cooper,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16574,CD-2513,of Depave on removing asphalt parking lots,2013-03-01,unknown,,,,"Transportation, Environment/Climate",Eric Rosewall,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16573,CD-2512,new nat'l park in Congo,2013-03-01,unknown,,,,"Environment/Climate, Global Affairs",Roger Peet,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:28:00,,,,,,,,,,,,,,,,,,,,
16575,CD-2514,healthy food at CoffeeCreek women's prison,2013-02-25,unknown,,,,"Food, Prison, Women",Linda Drach,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:28:22,,,,,,,,,,,,,,,,,,,,
16577,CD-2516,weeds,2013-02-13,unknown,,,,Agriculture,Mitch Bixby,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16578,CD-2517,photography-scenes in art museums,2013-01-08,unknown,,,,Arts/Culture,Christopher Rauschenberg,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:28:00,,,,,,,,,,,,,,,,,,,,
16476,CD-2425,on different views of blacks & whites on many issu,2012-12-19,unknown,,,,"Government/Politics, African American",Daniel Byrd,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16581,CD-2520,interview - city commissioner about to retire,2012-12-13,unknown,,,,Government/Politics,Randy Leonard,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:00,,,,,,,,,,,,,,,,,,,,
16576,CD-2515,"CarolynBreece, TimWessels on bees",2012-12-12,unknown,,,,"Agriculture, Environment/Climate",Rosanna Mattingly,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16563,CD-2502,suicide,2012-12-12,unknown,,,KBOO,Health,Will Hall (KBOO),,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:00,,,,,,,,,,,,,,,,,,,,
16569,CD-2508,coal by railroad to Pacific ports,2012-12-11,unknown,,,,"Environment/Climate, Transportation",Dan Sears,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16493,CD-2442,editor of Yes Magazine,2012-12-08,unknown,,,,,Madeline Ostrander,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:11:00,,,,,,,,,,,,,,,,,,,,
16586,CD-2525,race & education,2012-12-07,unknown,,,,"Education, African American",Donna Maxey,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:28:31,,,,,,,,,,,,,,,,,,,,
16567,CD-2506,RupaMaya(music( JeremyLin(basketball),2012-12-07,unknown,,,,"Global Affairs, Music, Sports",Jorge Cham,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16568,CD-2507,sales tax to fund Portland schools,2012-12-06,unknown,,,,"Education, Economy",Roberta Palmer,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16566,CD-2505,wroteTheHealthyAgingBrain,2012-12-03,unknown,,,,"Elders, Health",Judith Horstmann,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:28:31,,,,,,,,,,,,,,,,,,,,
16565,CD-2504,policy&programs for Indian healthcare,2012-12-03,unknown,,,,"Health, Indigenous",Kerri Lopez,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:28:16,,,,,,,,,,,,,,,,,,,,
16584,CD-2523,against Israeli destruction of Palestinian houses,2012-09-28,unknown,,,,Global Affairs,Jeff Halper,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:59:18,,,,,,,,,,,,,,,,,,,,
16451,CD-2400,curators on his show,2012-02-28,unknown,,,,Arts/Culture,Bruce Nauman,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16349,CD-2298,wrote novel TheSistersBrothers,2012-02-23,unknown,,,,Fiction,Patrick deWitt,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:17:00,,,,,,,,,,,,,,,,,,,,
16347,CD-2296,war on women & reproductive rights,2012-02-20,unknown,,,,"Women, Health",David Greenberg,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,01:00:00,,,,,,,,,,,,,,,,,,,,
16348,CD-2297,wrote TheMilitaryIndustrialComplexAt 50,2012-02-17,unknown,,,,"War/Peace, Corporations",David Swanson,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:33:14,,,,,,,,,,,,,,,,,,,,
16463,CD-2412,"wroteLocalDollars, LocalSense",2012-02-13,unknown,,,,Economy,Michael Shuman,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16466,CD-2415,TheUnfinishedRevolution:ComingOfAge-GenderWorkFami,2012-02-06,unknown,,,,Women,Kathleen Gerson,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16350,CD-2299,on traditional childbearing,2012-02-03,unknown,,,,"Women, Health, Family",Shafia Monroe,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:17:30,,,,,,,,,,,,,,,,,,,,
16462,CD-2411,wrote TheGirlWhoFellFromTheSky,2012-02-02,unknown,,,,Fiction,Heidi Durrow,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:30:00,,,,,,,,,,,,,,,,,,,,
16454,CD-2403,wroteWhatEveryEnvironmentalistNeedsToKnowAboutEcon,2012-02-02,unknown,,,,"Environment/Climate, Economy",Fred Magdoff,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16467,CD-2416,bring war dollars home,2012-02-01,unknown,,,,"Economy, War/Peace",Curtis Bell,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:19:28,,,,,,,,,,,,,,,,,,,,
16486,CD-2435,of Common Cause on money & politics,2012-01-30,unknown,,,,"Government/Politics, Corporations",Janice Thompson,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16485,CD-2434,"grief.dying, children",2012-01-27,unknown,,,,"Recovery, Music",Lincoln Crockett,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16456,CD-2405,wrote TheMagicianKing,2012-01-26,unknown,,,,Fiction,Lev Grossman,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16473,CD-2422,wrote Debt:The First 5000 Years,2012-01-24,unknown,,,,Economy,David Graeber,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16472,CD-2421,on forgiving student loans,2012-01-23,unknown,,,,"Economy, Education",Robert Applebaum,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16499,CD-2448,wrote article 'TheOther One Percent',2012-01-20,unknown,,,,War/Peace,Mark Thompson,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16474,CD-2423,PityTheBillionaire-on swindles &resurgence of the,2012-01-20,unknown,,,,Economy,Thomas Frank,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16453,CD-2402,Arlo Sone on movement building,2012-01-20,unknown,,,,Government/Politics,Nora Callahan,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16538,CD-2480,GarethPorterOnIranNuke Accusation,2012-01-19,unknown,,,,Government/Politics,Hillary Clinton,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16479,CD-2428,wrote novel TheEveningHour,2012-01-19,unknown,,,,Fiction,Carter Sickels,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16470,CD-2419,camp in downtown Portland:Right 2 Dream Too,2012-01-18,unknown,,,,Housing/Homelessness,,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16482,CD-2431,CD-2431 title,2012-01-17,unknown,,,,Global Affairs,Mohamad Junaid,Kashmir,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Non-Saleable,,,,,,00:56:00,,,,,,,,,,,,,,,,,,,,
16477,CD-2426,on the Occupy movement,2012-01-13,unknown,,,,Government/Politics,Arun Gupta,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16478,CD-2427,Jim Gilbert tree pruning,2012-01-11,unknown,,,KBOO,Agriculture,Glen Andresen (KBOO),,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16494,CD-2443,ItTakesAVillage. Runs Urban Bridges Studio for opp,2012-01-09,unknown,,,,Youth,Patricia Feathers,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:29:02,,,,,,,,,,,,,,,,,,,,
16475,CD-2424,on mortgage foreclosures,2012-01-09,unknown,,,,Economy,Angela Martin,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16502,CD-2451,Black Book Talk: Best Black Books of 2011,2012-01-05,unknown,,,KBOO,"Fiction, African American",,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16496,CD-2445,wrote novel On Canaan's Side,2012-01-05,unknown,,,,Fiction,Sebastian Barry,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:27:01,,,,,,,,,,,,,,,,,,,,
