Resource ID(s),Unique Identifier,Item Title,Date,Date Type,Digitization Nomination,Checksum Type,Publisher,Subject,Contributor,Description,Rights Statement,Storage Location,Physical Format,Generations,Condition,Asset Type,Channel Configuration Physical,Rights Summary,Language,Channel Configuration Digital,Preservation Sample Rate,Preservation Bit Depth,Digitization Grant,Duration Physical,Written notes on casing,Removal Nomination,Related Item IDs,Ancillary Materials,Program Name,Digital QC notes,Preservation Filename,Preservation File Location,Preservation Filesize,Checksum Value,Digitization Vendor,KBOO episode ID,Proxy Filename,Temporal Coverage,Date Digitized,Duration Digital,Audio Time Start,Spatial Coverage,Identifier2,IdentifierSource2
17049,CS-1348,CS-1348 title,1999-11-17,unknown,,,,"Agriculture, Science/Technology, Economy, Global Affairs",Will Newman,"BethBurrows on agriculture, technology, free trade","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
18308,CS-0881,CS-0881 title,1999-11-16,unknown,,,,"Fiction, Poetry",,Oregon Book Awards,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Non-Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
18415,CS-0988,print retrospective at PNCA,1999-11-11,unknown,,,,Arts/Culture,Gordon Gilkey,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,00:30:00,,,,,,,,,,,,,,,,,,,,
17047,CS-1346,CS-1346 title,1999-11-10,unknown,,,,Energy/Natural Resources,Paige Fischer,Imaluski on logging internationally,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16992,CS-1291,CS-1291 title,1999-11-09,unknown,,,,Economy,Victor Menotti,"Globalization, NeoliberalismandWTO","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
11550,10-1123,Alternative Radio,1999-11-02,unknown,No,,Alternative Radio,"Environment/Climate, neighborhoods",Bill McKibben,Alternative Radio-LivableCities,This is an Alternative Radio program.,KBOO Archives Room,1/4 inch audio tape,,,Episode,,Non-Saleable,,,,,,00:59:00,,,,,,,,,,,,,,,,,,,,
18436,CS-1009,Suzy Root,1999-10-31,unknown,,,,Arts/Culture,Manua Shapiro,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,00:30:00,,,,,,,,,,,,,,,,,,,,
14172,CD-0018,Boo Ball Promos,1999-10-30,unknown,No,,,History,Rhonda Kennedy,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,Promo,,Saleable,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
16826,CS-1125,head of Makah tribal whaling commission,1999-10-28,unknown,,,,"Animals, Indigenous",Kieth Johnson,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
11557,10-1130,10-1130 title,1999-10-27,unknown,,,,"Women, Labor",Phoebe Schellenberg,Home Economics-the role of housewives,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Non-Saleable,,,,,,00:59:00,,,,,,,,,,,,,,,,,,,,
